etoile,frequence,freq_par_tirage,prob_empirique
1,305,0.16111991547807714,0.16111991547807714
2,355,0.18753301637612255,0.18753301637612255
3,349,0.1843634442683571,0.1843634442683571
4,272,0.14368726888536715,0.14368726888536715
5,323,0.17062863180137347,0.17062863180137347
6,323,0.17062863180137347,0.17062863180137347
7,324,0.17115689381933438,0.17115689381933438
8,343,0.18119387216059166,0.18119387216059166
9,319,0.16851558372952985,0.16851558372952985
10,248,0.13100898045430534,0.13100898045430534
11,227,0.11991547807712626,0.11991547807712626
12,145,0.07659799260433175,0.07659799260433175
